run_id,run_type,country_id,policy_variant_id,scenario_id,regime_id,v_baseline,v_negative_control,collapse_ratio,baseline_crosses_v1,negative_control_crosses_v1,verdict,parameter_set_id,dataset_version
official_4c_diagnostics_6b_baseline_official_v3,diagnostic,PER,PEN,high,r1,0.0516985316480314,0.016449532797100902,0.31818181818181823,False,False,PASS,baseline-official-v3,v1.0.1-official-4c
official_4c_diagnostics_6b_baseline_official_v3,diagnostic,PER,GMI:GMI_ideal_aggregate,high,r1,-0.0569570640126876,-0.018122702185855148,0.31818181818181823,False,False,PASS,baseline-official-v3,v1.0.1-official-4c
official_4c_diagnostics_6b_baseline_official_v3,diagnostic,PER,GMI:GMI_loaded_aggregate,high,r1,-0.0379713760084584,-0.012081801457236765,0.31818181818181823,False,False,PASS,baseline-official-v3,v1.0.1-official-4c
official_4c_diagnostics_6b_baseline_official_v3,diagnostic,PER,MUT,high,r1,0.0162055001943907,0.005156295516397041,0.31818181818181823,False,False,PASS,baseline-official-v3,v1.0.1-official-4c
official_4c_diagnostics_6b_baseline_official_v3,diagnostic,PER,PBI,high,r1,0.0144784643455594,0.004606784109950719,0.31818181818181823,False,False,PASS,baseline-official-v3,v1.0.1-official-4c
official_4c_diagnostics_6b_baseline_official_v3,diagnostic,PER,UBI,high,r1,0.0060780112666424,0.001933912675749855,0.31818181818181823,False,False,PASS,baseline-official-v3,v1.0.1-official-4c
official_4c_diagnostics_6b_baseline_official_v3,diagnostic,PER,PEN,high,r2,0.0684379061451893,0.021775697409832963,0.31818181818181823,False,False,PASS,baseline-official-v3,v1.0.1-official-4c
official_4c_diagnostics_6b_baseline_official_v3,diagnostic,PER,GMI:GMI_ideal_aggregate,high,r2,-0.0536095321339181,-0.017057578406246672,0.31818181818181823,False,False,PASS,baseline-official-v3,v1.0.1-official-4c
official_4c_diagnostics_6b_baseline_official_v3,diagnostic,PER,GMI:GMI_loaded_aggregate,high,r2,-0.0357396880892787,-0.01137171893749777,0.31818181818181823,False,False,PASS,baseline-official-v3,v1.0.1-official-4c
official_4c_diagnostics_6b_baseline_official_v3,diagnostic,PER,MUT,high,r2,0.0179529118351084,0.005712290129352674,0.31818181818181823,False,False,PASS,baseline-official-v3,v1.0.1-official-4c
official_4c_diagnostics_6b_baseline_official_v3,diagnostic,PER,PBI,high,r2,0.015649218487734,0.004979296791551727,0.31818181818181823,False,False,PASS,baseline-official-v3,v1.0.1-official-4c
official_4c_diagnostics_6b_baseline_official_v3,diagnostic,PER,UBI,high,r2,0.0065148641768218,0.002072911328988755,0.31818181818181823,False,False,PASS,baseline-official-v3,v1.0.1-official-4c
official_4c_diagnostics_6b_baseline_official_v3,diagnostic,PER,PEN,high,r3,0.0296689642076774,0.009440124975170083,0.31818181818181823,False,False,PASS,baseline-official-v3,v1.0.1-official-4c
official_4c_diagnostics_6b_baseline_official_v3,diagnostic,PER,GMI:GMI_ideal_aggregate,high,r3,-0.0619222259189265,-0.019702526428749343,0.31818181818181823,False,False,PASS,baseline-official-v3,v1.0.1-official-4c
official_4c_diagnostics_6b_baseline_official_v3,diagnostic,PER,GMI:GMI_loaded_aggregate,high,r3,-0.041281483945951,-0.01313501761916623,0.31818181818181823,False,False,PASS,baseline-official-v3,v1.0.1-official-4c
official_4c_diagnostics_6b_baseline_official_v3,diagnostic,PER,MUT,high,r3,0.0139957454040536,0.004453191719471601,0.31818181818181823,False,False,PASS,baseline-official-v3,v1.0.1-official-4c
official_4c_diagnostics_6b_baseline_official_v3,diagnostic,PER,PBI,high,r3,0.0130280583735593,0.00414529130067796,0.31818181818181823,False,False,PASS,baseline-official-v3,v1.0.1-official-4c
official_4c_diagnostics_6b_baseline_official_v3,diagnostic,PER,UBI,high,r3,0.0055424281451487,0.0017634998643654956,0.31818181818181823,False,False,PASS,baseline-official-v3,v1.0.1-official-4c
official_4c_diagnostics_6b_baseline_official_v3,diagnostic,PER,PEN,high,r4,0.1253790979561144,0.03989334934967277,0.31818181818181823,False,False,PASS,baseline-official-v3,v1.0.1-official-4c
official_4c_diagnostics_6b_baseline_official_v3,diagnostic,PER,GMI:GMI_ideal_aggregate,high,r4,-0.0412896275273874,-0.013137608758714175,0.31818181818181823,False,False,PASS,baseline-official-v3,v1.0.1-official-4c
official_4c_diagnostics_6b_baseline_official_v3,diagnostic,PER,GMI:GMI_loaded_aggregate,high,r4,-0.0275264183515916,-0.008758405839142783,0.31818181818181823,False,False,PASS,baseline-official-v3,v1.0.1-official-4c
official_4c_diagnostics_6b_baseline_official_v3,diagnostic,PER,MUT,high,r4,0.0237471358318515,0.007555906855589115,0.31818181818181823,False,False,PASS,baseline-official-v3,v1.0.1-official-4c
official_4c_diagnostics_6b_baseline_official_v3,diagnostic,PER,PBI,high,r4,0.0194811182517154,0.00619853762554581,0.31818181818181823,False,False,PASS,baseline-official-v3,v1.0.1-official-4c
official_4c_diagnostics_6b_baseline_official_v3,diagnostic,PER,UBI,high,r4,0.0079353275491899,0.0025248769474695144,0.31818181818181823,False,False,PASS,baseline-official-v3,v1.0.1-official-4c
official_4c_diagnostics_6b_baseline_official_v3,diagnostic,PER,PEN,stress,r0,1.0152041145854496,0.32301949100446126,0.31818181818181823,True,False,PASS,baseline-official-v3,v1.0.1-official-4c
official_4c_diagnostics_6b_baseline_official_v3,diagnostic,PER,GMI:GMI_ideal_aggregate,stress,r0,0.1347914754936483,0.042888196747979015,0.31818181818181823,False,False,PASS,baseline-official-v3,v1.0.1-official-4c
official_4c_diagnostics_6b_baseline_official_v3,diagnostic,PER,GMI:GMI_loaded_aggregate,stress,r0,0.0898609836624322,0.02859213116531934,0.31818181818181823,False,False,PASS,baseline-official-v3,v1.0.1-official-4c
official_4c_diagnostics_6b_baseline_official_v3,diagnostic,PER,MUT,stress,r0,0.1169350040245641,0.037206592189634034,0.31818181818181823,False,False,PASS,baseline-official-v3,v1.0.1-official-4c
official_4c_diagnostics_6b_baseline_official_v3,diagnostic,PER,PBI,stress,r0,0.0820167515983148,0.02609623914491835,0.31818181818181823,False,False,PASS,baseline-official-v3,v1.0.1-official-4c
official_4c_diagnostics_6b_baseline_official_v3,diagnostic,PER,UBI,stress,r0,0.0312884798510033,0.009955425407137414,0.31818181818181823,False,False,PASS,baseline-official-v3,v1.0.1-official-4c
official_4c_diagnostics_6b_baseline_official_v3,diagnostic,PER,PEN,stress,r1,1.0926140795425037,0.34764993439988756,0.31818181818181823,True,False,PASS,baseline-official-v3,v1.0.1-official-4c
official_4c_diagnostics_6b_baseline_official_v3,diagnostic,PER,GMI:GMI_ideal_aggregate,stress,r1,0.1512047152864849,0.048110591227517936,0.31818181818181823,False,False,PASS,baseline-official-v3,v1.0.1-official-4c
official_4c_diagnostics_6b_baseline_official_v3,diagnostic,PER,GMI:GMI_loaded_aggregate,stress,r1,0.1008031435243233,0.032073727485011964,0.31818181818181823,False,False,PASS,baseline-official-v3,v1.0.1-official-4c
official_4c_diagnostics_6b_baseline_official_v3,diagnostic,PER,MUT,stress,r1,0.1248659489885588,0.0397300746781778,0.31818181818181823,False,False,PASS,baseline-official-v3,v1.0.1-official-4c
official_4c_diagnostics_6b_baseline_official_v3,diagnostic,PER,PBI,stress,r1,0.0872802401561387,0.027770985504225954,0.31818181818181823,False,False,PASS,baseline-official-v3,v1.0.1-official-4c
official_4c_diagnostics_6b_baseline_official_v3,diagnostic,PER,UBI,stress,r1,0.0332431234651844,0.010577357466195036,0.31818181818181823,False,False,PASS,baseline-official-v3,v1.0.1-official-4c
official_4c_diagnostics_6b_baseline_official_v3,diagnostic,PER,PEN,stress,r2,1.15780271593806,0.36839177325301914,0.31818181818181823,True,False,PASS,baseline-official-v3,v1.0.1-official-4c
official_4c_diagnostics_6b_baseline_official_v3,diagnostic,PER,GMI:GMI_ideal_aggregate,stress,r2,0.1642411067301849,0.052258533959604295,0.31818181818181823,False,False,PASS,baseline-official-v3,v1.0.1-official-4c
official_4c_diagnostics_6b_baseline_official_v3,diagnostic,PER,GMI:GMI_loaded_aggregate,stress,r2,0.1094940711534566,0.0348390226397362,0.31818181818181823,False,False,PASS,baseline-official-v3,v1.0.1-official-4c
official_4c_diagnostics_6b_baseline_official_v3,diagnostic,PER,MUT,stress,r2,0.1316709453221702,0.041895300784326885,0.31818181818181823,False,False,PASS,baseline-official-v3,v1.0.1-official-4c
official_4c_diagnostics_6b_baseline_official_v3,diagnostic,PER,PBI,stress,r2,0.0918395423030481,0.029221672550969854,0.31818181818181823,False,False,PASS,baseline-official-v3,v1.0.1-official-4c
official_4c_diagnostics_6b_baseline_official_v3,diagnostic,PER,UBI,stress,r2,0.0349443725485872,0.011118663992732291,0.31818181818181823,False,False,PASS,baseline-official-v3,v1.0.1-official-4c
official_4c_diagnostics_6b_baseline_official_v3,diagnostic,PER,PEN,stress,r3,1.0499800745562868,0.3340845691770004,0.31818181818181823,True,False,PASS,baseline-official-v3,v1.0.1-official-4c
official_4c_diagnostics_6b_baseline_official_v3,diagnostic,PER,GMI:GMI_ideal_aggregate,stress,r3,0.1421190880940073,0.04521970984809324,0.31818181818181823,False,False,PASS,baseline-official-v3,v1.0.1-official-4c
official_4c_diagnostics_6b_baseline_official_v3,diagnostic,PER,GMI:GMI_loaded_aggregate,stress,r3,0.0947460587293382,0.030146473232062158,0.31818181818181823,False,False,PASS,baseline-official-v3,v1.0.1-official-4c
official_4c_diagnostics_6b_baseline_official_v3,diagnostic,PER,MUT,stress,r3,0.1205053113188051,0.038342599055983445,0.31818181818181823,False,False,PASS,baseline-official-v3,v1.0.1-official-4c
official_4c_diagnostics_6b_baseline_official_v3,diagnostic,PER,PBI,stress,r3,0.0843887570036208,0.026850968137515717,0.31818181818181823,False,False,PASS,baseline-official-v3,v1.0.1-official-4c
