country_id,policy_variant_id,scenario_id,regime_id,v_gross,crosses_v1,cell_result_class
CHL,GMI:GMI_loaded_aggregate,high,r0,-0.587277238213664,False,not_feasible
CHL,MUT,high,r0,0.0412350928475216,False,not_feasible
CHL,PBI,high,r0,0.0307113462297521,False,not_feasible
CHL,UBI,high,r0,0.0140867108026072,False,not_feasible
CHL,PEN,high,r1,0.0241133054149424,False,not_feasible
CHL,GMI:GMI_ideal_aggregate,high,r1,-0.7700746705516304,False,not_feasible
CHL,GMI:GMI_loaded_aggregate,high,r1,-0.5133831137010869,False,not_feasible
CHL,MUT,high,r1,0.0456506952495532,False,not_feasible
CHL,PBI,high,r1,0.0332718596370258,False,not_feasible
CHL,UBI,high,r1,0.0151389587526245,False,not_feasible
CHL,PEN,high,r2,0.0277934068025162,False,not_feasible
CHL,GMI:GMI_ideal_aggregate,high,r2,-0.6920183941316054,False,not_feasible
CHL,GMI:GMI_loaded_aggregate,high,r2,-0.4613455960877369,False,not_feasible
CHL,MUT,high,r2,0.0495847315811224,False,not_feasible
CHL,PBI,high,r2,0.0356265762618214,False,not_feasible
CHL,UBI,high,r2,0.0161224678355168,False,not_feasible
CHL,PEN,high,r3,0.0192961216845893,False,not_feasible
CHL,GMI:GMI_ideal_aggregate,high,r3,-0.8829073566024875,False,not_feasible
CHL,GMI:GMI_loaded_aggregate,high,r3,-0.5886049044016584,False,not_feasible
CHL,MUT,high,r3,0.0406664039192615,False,not_feasible
CHL,PBI,high,r3,0.0303379797951133,False,not_feasible
CHL,UBI,high,r3,0.0139238775103459,False,not_feasible
CHL,PEN,high,r4,0.0399632707992742,False,not_feasible
CHL,GMI:GMI_ideal_aggregate,high,r4,-0.4161270547385515,False,not_feasible
CHL,GMI:GMI_loaded_aggregate,high,r4,-0.2774180364923677,False,not_feasible
CHL,MUT,high,r4,0.0623188616754131,False,not_feasible
CHL,PBI,high,r4,0.0431661426823069,False,not_feasible
CHL,UBI,high,r4,0.019254347708599,False,not_feasible
CHL,PEN,stress,r0,0.2452211325082953,False,not_feasible
CHL,GMI:GMI_ideal_aggregate,stress,r0,3.901937871138183,True,feasible_cell
CHL,GMI:GMI_loaded_aggregate,stress,r0,2.6012919140921213,True,feasible_cell
CHL,MUT,stress,r0,0.282290920761839,False,not_feasible
CHL,PBI,stress,r0,0.1749952616930563,False,not_feasible
CHL,UBI,stress,r0,0.0743506677811865,False,not_feasible
CHL,PEN,stress,r1,0.2602914757602903,False,not_feasible
CHL,GMI:GMI_ideal_aggregate,stress,r1,4.239349420616151,True,feasible_cell
CHL,GMI:GMI_loaded_aggregate,stress,r1,2.826232947077433,True,feasible_cell
