run_id,run_type,country_id,policy_variant_id,scenario_id,regime_id,v_baseline,v_negative_control,collapse_ratio,baseline_crosses_v1,negative_control_crosses_v1,verdict,parameter_set_id,dataset_version,diagnostic_block,v_baseline_recomputed,v_no_rent_capture,delta_v,r4_crossing_depends_on_rents,v_high_leakage,crossing_survives_high_leakage
official_4c_diagnostics_6b_baseline_official_v3,diagnostic,PER,PBI,mid,r4,0.023063134368669,0.0073382700263946,0.3181818181818182,False,False,PASS,baseline-official-v3,v1.0.1-official-4c,sectorial_displacement,,,,,,
official_4c_diagnostics_6b_baseline_official_v3,diagnostic,PER,UBI,mid,r4,0.0092719140353109,0.0029501544657807,0.3181818181818182,False,False,PASS,baseline-official-v3,v1.0.1-official-4c,sectorial_displacement,,,,,,
official_4c_diagnostics_6b_baseline_official_v3,diagnostic,PER,PEN,high,r0,0.0285562484215996,0.0090860790432362,0.3181818181818182,False,False,PASS,baseline-official-v3,v1.0.1-official-4c,sectorial_displacement,,,,,,
official_4c_diagnostics_6b_baseline_official_v3,diagnostic,PER,GMI:GMI_ideal_aggregate,high,r0,-0.0625178795043044,-0.0198920525695514,0.3181818181818182,False,False,PASS,baseline-official-v3,v1.0.1-official-4c,sectorial_displacement,,,,,,
official_4c_diagnostics_6b_baseline_official_v3,diagnostic,PER,GMI:GMI_loaded_aggregate,high,r0,-0.0416785863362029,-0.0132613683797009,0.3181818181818182,False,False,PASS,baseline-official-v3,v1.0.1-official-4c,sectorial_displacement,,,,,,
official_4c_diagnostics_6b_baseline_official_v3,diagnostic,PER,MUT,high,r0,0.0139395207156327,0.0044353020458831,0.3181818181818182,False,False,PASS,baseline-official-v3,v1.0.1-official-4c,sectorial_displacement,,,,,,
official_4c_diagnostics_6b_baseline_official_v3,diagnostic,PER,PBI,high,r0,0.0130104648714601,0.0041396933681918,0.3181818181818182,False,False,PASS,baseline-official-v3,v1.0.1-official-4c,sectorial_displacement,,,,,,
official_4c_diagnostics_6b_baseline_official_v3,diagnostic,PER,UBI,high,r0,0.0055396090237705,0.0017626028711997,0.3181818181818182,False,False,PASS,baseline-official-v3,v1.0.1-official-4c,sectorial_displacement,,,,,,
official_4c_diagnostics_6b_baseline_official_v3,diagnostic,PER,PEN,high,r1,0.0516985316480314,0.0164495327971009,0.3181818181818182,False,False,PASS,baseline-official-v3,v1.0.1-official-4c,sectorial_displacement,,,,,,
official_4c_diagnostics_6b_baseline_official_v3,diagnostic,PER,GMI:GMI_ideal_aggregate,high,r1,-0.0569570640126876,-0.0181227021858551,0.3181818181818182,False,False,PASS,baseline-official-v3,v1.0.1-official-4c,sectorial_displacement,,,,,,
official_4c_diagnostics_6b_baseline_official_v3,diagnostic,PER,GMI:GMI_loaded_aggregate,high,r1,-0.0379713760084584,-0.0120818014572367,0.3181818181818182,False,False,PASS,baseline-official-v3,v1.0.1-official-4c,sectorial_displacement,,,,,,
official_4c_diagnostics_6b_baseline_official_v3,diagnostic,PER,MUT,high,r1,0.0162055001943907,0.005156295516397,0.3181818181818182,False,False,PASS,baseline-official-v3,v1.0.1-official-4c,sectorial_displacement,,,,,,
official_4c_diagnostics_6b_baseline_official_v3,diagnostic,PER,PBI,high,r1,0.0144784643455594,0.0046067841099507,0.3181818181818182,False,False,PASS,baseline-official-v3,v1.0.1-official-4c,sectorial_displacement,,,,,,
official_4c_diagnostics_6b_baseline_official_v3,diagnostic,PER,UBI,high,r1,0.0060780112666424,0.0019339126757498,0.3181818181818182,False,False,PASS,baseline-official-v3,v1.0.1-official-4c,sectorial_displacement,,,,,,
official_4c_diagnostics_6b_baseline_official_v3,diagnostic,PER,PEN,high,r2,0.0684379061451893,0.0217756974098329,0.3181818181818182,False,False,PASS,baseline-official-v3,v1.0.1-official-4c,sectorial_displacement,,,,,,
official_4c_diagnostics_6b_baseline_official_v3,diagnostic,PER,GMI:GMI_ideal_aggregate,high,r2,-0.0536095321339181,-0.0170575784062466,0.3181818181818182,False,False,PASS,baseline-official-v3,v1.0.1-official-4c,sectorial_displacement,,,,,,
official_4c_diagnostics_6b_baseline_official_v3,diagnostic,PER,GMI:GMI_loaded_aggregate,high,r2,-0.0357396880892787,-0.0113717189374977,0.3181818181818182,False,False,PASS,baseline-official-v3,v1.0.1-official-4c,sectorial_displacement,,,,,,
official_4c_diagnostics_6b_baseline_official_v3,diagnostic,PER,MUT,high,r2,0.0179529118351084,0.0057122901293526,0.3181818181818182,False,False,PASS,baseline-official-v3,v1.0.1-official-4c,sectorial_displacement,,,,,,
official_4c_diagnostics_6b_baseline_official_v3,diagnostic,PER,PBI,high,r2,0.015649218487734,0.0049792967915517,0.3181818181818182,False,False,PASS,baseline-official-v3,v1.0.1-official-4c,sectorial_displacement,,,,,,
official_4c_diagnostics_6b_baseline_official_v3,diagnostic,PER,UBI,high,r2,0.0065148641768218,0.0020729113289887,0.3181818181818182,False,False,PASS,baseline-official-v3,v1.0.1-official-4c,sectorial_displacement,,,,,,
official_4c_diagnostics_6b_baseline_official_v3,diagnostic,PER,PEN,high,r3,0.0296689642076774,0.00944012497517,0.3181818181818182,False,False,PASS,baseline-official-v3,v1.0.1-official-4c,sectorial_displacement,,,,,,
official_4c_diagnostics_6b_baseline_official_v3,diagnostic,PER,GMI:GMI_ideal_aggregate,high,r3,-0.0619222259189265,-0.0197025264287493,0.3181818181818182,False,False,PASS,baseline-official-v3,v1.0.1-official-4c,sectorial_displacement,,,,,,
official_4c_diagnostics_6b_baseline_official_v3,diagnostic,PER,GMI:GMI_loaded_aggregate,high,r3,-0.041281483945951,-0.0131350176191662,0.3181818181818182,False,False,PASS,baseline-official-v3,v1.0.1-official-4c,sectorial_displacement,,,,,,
official_4c_diagnostics_6b_baseline_official_v3,diagnostic,PER,MUT,high,r3,0.0139957454040536,0.0044531917194716,0.3181818181818182,False,False,PASS,baseline-official-v3,v1.0.1-official-4c,sectorial_displacement,,,,,,
official_4c_diagnostics_6b_baseline_official_v3,diagnostic,PER,PBI,high,r3,0.0130280583735593,0.0041452913006779,0.3181818181818182,False,False,PASS,baseline-official-v3,v1.0.1-official-4c,sectorial_displacement,,,,,,
official_4c_diagnostics_6b_baseline_official_v3,diagnostic,PER,UBI,high,r3,0.0055424281451487,0.0017634998643654,0.3181818181818182,False,False,PASS,baseline-official-v3,v1.0.1-official-4c,sectorial_displacement,,,,,,
official_4c_diagnostics_6b_baseline_official_v3,diagnostic,PER,PEN,high,r4,0.1253790979561144,0.0398933493496727,0.3181818181818182,False,False,PASS,baseline-official-v3,v1.0.1-official-4c,sectorial_displacement,,,,,,
official_4c_diagnostics_6b_baseline_official_v3,diagnostic,PER,GMI:GMI_ideal_aggregate,high,r4,-0.0412896275273874,-0.0131376087587141,0.3181818181818182,False,False,PASS,baseline-official-v3,v1.0.1-official-4c,sectorial_displacement,,,,,,
official_4c_diagnostics_6b_baseline_official_v3,diagnostic,PER,GMI:GMI_loaded_aggregate,high,r4,-0.0275264183515916,-0.0087584058391427,0.3181818181818182,False,False,PASS,baseline-official-v3,v1.0.1-official-4c,sectorial_displacement,,,,,,
official_4c_diagnostics_6b_baseline_official_v3,diagnostic,PER,MUT,high,r4,0.0237471358318515,0.0075559068555891,0.3181818181818182,False,False,PASS,baseline-official-v3,v1.0.1-official-4c,sectorial_displacement,,,,,,
official_4c_diagnostics_6b_baseline_official_v3,diagnostic,PER,PBI,high,r4,0.0194811182517154,0.0061985376255458,0.3181818181818182,False,False,PASS,baseline-official-v3,v1.0.1-official-4c,sectorial_displacement,,,,,,
official_4c_diagnostics_6b_baseline_official_v3,diagnostic,PER,UBI,high,r4,0.0079353275491899,0.0025248769474695,0.3181818181818182,False,False,PASS,baseline-official-v3,v1.0.1-official-4c,sectorial_displacement,,,,,,
official_4c_diagnostics_6b_baseline_official_v3,diagnostic,PER,PEN,stress,r0,1.0152041145854496,0.3230194910044612,0.3181818181818182,True,False,PASS,baseline-official-v3,v1.0.1-official-4c,sectorial_displacement,,,,,,
official_4c_diagnostics_6b_baseline_official_v3,diagnostic,PER,GMI:GMI_ideal_aggregate,stress,r0,0.1347914754936483,0.042888196747979,0.3181818181818182,False,False,PASS,baseline-official-v3,v1.0.1-official-4c,sectorial_displacement,,,,,,
official_4c_diagnostics_6b_baseline_official_v3,diagnostic,PER,GMI:GMI_loaded_aggregate,stress,r0,0.0898609836624322,0.0285921311653193,0.3181818181818182,False,False,PASS,baseline-official-v3,v1.0.1-official-4c,sectorial_displacement,,,,,,
official_4c_diagnostics_6b_baseline_official_v3,diagnostic,PER,MUT,stress,r0,0.1169350040245641,0.037206592189634,0.3181818181818182,False,False,PASS,baseline-official-v3,v1.0.1-official-4c,sectorial_displacement,,,,,,
official_4c_diagnostics_6b_baseline_official_v3,diagnostic,PER,PBI,stress,r0,0.0820167515983148,0.0260962391449183,0.3181818181818182,False,False,PASS,baseline-official-v3,v1.0.1-official-4c,sectorial_displacement,,,,,,
official_4c_diagnostics_6b_baseline_official_v3,diagnostic,PER,UBI,stress,r0,0.0312884798510033,0.0099554254071374,0.3181818181818182,False,False,PASS,baseline-official-v3,v1.0.1-official-4c,sectorial_displacement,,,,,,
official_4c_diagnostics_6b_baseline_official_v3,diagnostic,PER,PEN,stress,r1,1.0926140795425037,0.3476499343998875,0.3181818181818182,True,False,PASS,baseline-official-v3,v1.0.1-official-4c,sectorial_displacement,,,,,,
official_4c_diagnostics_6b_baseline_official_v3,diagnostic,PER,GMI:GMI_ideal_aggregate,stress,r1,0.1512047152864849,0.0481105912275179,0.3181818181818182,False,False,PASS,baseline-official-v3,v1.0.1-official-4c,sectorial_displacement,,,,,,
official_4c_diagnostics_6b_baseline_official_v3,diagnostic,PER,GMI:GMI_loaded_aggregate,stress,r1,0.1008031435243233,0.0320737274850119,0.3181818181818182,False,False,PASS,baseline-official-v3,v1.0.1-official-4c,sectorial_displacement,,,,,,
official_4c_diagnostics_6b_baseline_official_v3,diagnostic,PER,MUT,stress,r1,0.1248659489885588,0.0397300746781778,0.3181818181818182,False,False,PASS,baseline-official-v3,v1.0.1-official-4c,sectorial_displacement,,,,,,
official_4c_diagnostics_6b_baseline_official_v3,diagnostic,PER,PBI,stress,r1,0.0872802401561387,0.0277709855042259,0.3181818181818182,False,False,PASS,baseline-official-v3,v1.0.1-official-4c,sectorial_displacement,,,,,,
official_4c_diagnostics_6b_baseline_official_v3,diagnostic,PER,UBI,stress,r1,0.0332431234651844,0.010577357466195,0.3181818181818182,False,False,PASS,baseline-official-v3,v1.0.1-official-4c,sectorial_displacement,,,,,,
official_4c_diagnostics_6b_baseline_official_v3,diagnostic,PER,PEN,stress,r2,1.15780271593806,0.3683917732530191,0.3181818181818182,True,False,PASS,baseline-official-v3,v1.0.1-official-4c,sectorial_displacement,,,,,,
official_4c_diagnostics_6b_baseline_official_v3,diagnostic,PER,GMI:GMI_ideal_aggregate,stress,r2,0.1642411067301849,0.0522585339596042,0.3181818181818182,False,False,PASS,baseline-official-v3,v1.0.1-official-4c,sectorial_displacement,,,,,,
official_4c_diagnostics_6b_baseline_official_v3,diagnostic,PER,GMI:GMI_loaded_aggregate,stress,r2,0.1094940711534566,0.0348390226397362,0.3181818181818182,False,False,PASS,baseline-official-v3,v1.0.1-official-4c,sectorial_displacement,,,,,,
