run_id,mc_mode,country_id,policy_variant_id,scenario_id,regime_id,mc_n_draws,prob_v_ge_1_10,valid_support_share,valid_support_share_above_threshold,delta_from_previous,convergence_tolerance,support_share_threshold,converged_flag,parameter_set_id,dataset_version
official_4c_tierB_mc_baseline_official_v3,MC_factor_nominal,PER,PEN,mid,r0,5000,0.0,1.0,True,,0.02,0.9,True,baseline-official-v3,v1.0.1-official-4c
official_4c_tierB_mc_baseline_official_v3,MC_factor_nominal,PER,PEN,mid,r0,10000,0.0,1.0,True,0.0,0.02,0.9,True,baseline-official-v3,v1.0.1-official-4c
official_4c_tierB_mc_baseline_official_v3,MC_factor_nominal,PER,PEN,mid,r0,25000,0.0,1.0,True,0.0,0.02,0.9,True,baseline-official-v3,v1.0.1-official-4c
official_4c_tierB_mc_baseline_official_v3,MC_factor_nominal,PER,PEN,mid,r0,50000,0.0,1.0,True,0.0,0.02,0.9,True,baseline-official-v3,v1.0.1-official-4c
official_4c_tierB_mc_baseline_official_v3,MC_factor_nominal,PER,PEN,stress,r0,5000,0.3184,1.0,True,,0.02,0.9,True,baseline-official-v3,v1.0.1-official-4c
official_4c_tierB_mc_baseline_official_v3,MC_factor_nominal,PER,PEN,stress,r0,10000,0.3198,1.0,True,0.0013999999999999568,0.02,0.9,True,baseline-official-v3,v1.0.1-official-4c
official_4c_tierB_mc_baseline_official_v3,MC_factor_nominal,PER,PEN,stress,r0,25000,0.321,1.0,True,0.0012000000000000344,0.02,0.9,True,baseline-official-v3,v1.0.1-official-4c
official_4c_tierB_mc_baseline_official_v3,MC_factor_nominal,PER,PEN,stress,r0,50000,0.32338,1.0,True,0.0023799999999999932,0.02,0.9,True,baseline-official-v3,v1.0.1-official-4c
official_4c_tierB_mc_baseline_official_v3,MC_factor_nominal,PER,PEN,stress,r1,5000,0.4044,1.0,True,,0.02,0.9,True,baseline-official-v3,v1.0.1-official-4c
official_4c_tierB_mc_baseline_official_v3,MC_factor_nominal,PER,PEN,stress,r1,10000,0.405,1.0,True,0.0006000000000000449,0.02,0.9,True,baseline-official-v3,v1.0.1-official-4c
official_4c_tierB_mc_baseline_official_v3,MC_factor_nominal,PER,PEN,stress,r1,25000,0.40168,1.0,True,0.003320000000000045,0.02,0.9,True,baseline-official-v3,v1.0.1-official-4c
official_4c_tierB_mc_baseline_official_v3,MC_factor_nominal,PER,PEN,stress,r1,50000,0.4007,1.0,True,0.0009799999999999809,0.02,0.9,True,baseline-official-v3,v1.0.1-official-4c
official_4c_tierB_mc_baseline_official_v3,MC_factor_nominal,PER,PEN,stress,r2,5000,0.4748,1.0,True,,0.02,0.9,True,baseline-official-v3,v1.0.1-official-4c
official_4c_tierB_mc_baseline_official_v3,MC_factor_nominal,PER,PEN,stress,r2,10000,0.4747,1.0,True,9.999999999998899e-05,0.02,0.9,True,baseline-official-v3,v1.0.1-official-4c
official_4c_tierB_mc_baseline_official_v3,MC_factor_nominal,PER,PEN,stress,r2,25000,0.47264,1.0,True,0.0020600000000000063,0.02,0.9,True,baseline-official-v3,v1.0.1-official-4c
official_4c_tierB_mc_baseline_official_v3,MC_factor_nominal,PER,PEN,stress,r2,50000,0.47196,1.0,True,0.0006800000000000139,0.02,0.9,True,baseline-official-v3,v1.0.1-official-4c
official_4c_tierB_mc_baseline_official_v3,MC_factor_nominal,PER,PEN,stress,r3,5000,0.371,1.0,True,,0.02,0.9,True,baseline-official-v3,v1.0.1-official-4c
official_4c_tierB_mc_baseline_official_v3,MC_factor_nominal,PER,PEN,stress,r3,10000,0.3772,1.0,True,0.006199999999999983,0.02,0.9,True,baseline-official-v3,v1.0.1-official-4c
official_4c_tierB_mc_baseline_official_v3,MC_factor_nominal,PER,PEN,stress,r3,25000,0.38184,1.0,True,0.004640000000000033,0.02,0.9,True,baseline-official-v3,v1.0.1-official-4c
official_4c_tierB_mc_baseline_official_v3,MC_factor_nominal,PER,PEN,stress,r3,50000,0.38456,1.0,True,0.00272,0.02,0.9,True,baseline-official-v3,v1.0.1-official-4c
official_4c_tierB_mc_baseline_official_v3,MC_factor_nominal,PER,PEN,stress,r4,5000,0.6882,1.0,True,,0.02,0.9,True,baseline-official-v3,v1.0.1-official-4c
official_4c_tierB_mc_baseline_official_v3,MC_factor_nominal,PER,PEN,stress,r4,10000,0.6937,1.0,True,0.005499999999999949,0.02,0.9,True,baseline-official-v3,v1.0.1-official-4c
official_4c_tierB_mc_baseline_official_v3,MC_factor_nominal,PER,PEN,stress,r4,25000,0.69108,1.0,True,0.0026199999999999557,0.02,0.9,True,baseline-official-v3,v1.0.1-official-4c
official_4c_tierB_mc_baseline_official_v3,MC_factor_nominal,PER,PEN,stress,r4,50000,0.69146,1.0,True,0.00037999999999993594,0.02,0.9,True,baseline-official-v3,v1.0.1-official-4c
